Date,County,Population,Cases,Deaths,Policies & Announcements (Texas Government)
1/22/2020,FORT BEND COUNTY,811688,0,0,None
1/23/2020,FORT BEND COUNTY,811688,0,0,None
1/24/2020,FORT BEND COUNTY,811688,0,0,None
1/25/2020,FORT BEND COUNTY,811688,0,0,None
1/26/2020,FORT BEND COUNTY,811688,0,0,None
1/27/2020,FORT BEND COUNTY,811688,0,0,None
1/28/2020,FORT BEND COUNTY,811688,0,0,None
1/29/2020,FORT BEND COUNTY,811688,0,0,None
1/30/2020,FORT BEND COUNTY,811688,0,0,None
1/31/2020,FORT BEND COUNTY,811688,0,0,None
2/1/2020,FORT BEND COUNTY,811688,0,0,None
2/2/2020,FORT BEND COUNTY,811688,0,0,None
2/3/2020,FORT BEND COUNTY,811688,0,0,None
2/4/2020,FORT BEND COUNTY,811688,0,0,None
2/5/2020,FORT BEND COUNTY,811688,0,0,None
2/6/2020,FORT BEND COUNTY,811688,0,0,None
2/7/2020,FORT BEND COUNTY,811688,0,0,None
2/8/2020,FORT BEND COUNTY,811688,0,0,None
2/9/2020,FORT BEND COUNTY,811688,0,0,None
2/10/2020,FORT BEND COUNTY,811688,0,0,None
2/11/2020,FORT BEND COUNTY,811688,0,0,None
2/12/2020,FORT BEND COUNTY,811688,0,0,None
2/13/2020,FORT BEND COUNTY,811688,0,0,None
2/14/2020,FORT BEND COUNTY,811688,0,0,None
2/15/2020,FORT BEND COUNTY,811688,0,0,None
2/16/2020,FORT BEND COUNTY,811688,0,0,None
2/17/2020,FORT BEND COUNTY,811688,0,0,None
2/18/2020,FORT BEND COUNTY,811688,0,0,None
2/19/2020,FORT BEND COUNTY,811688,0,0,None
2/20/2020,FORT BEND COUNTY,811688,0,0,None
2/21/2020,FORT BEND COUNTY,811688,0,0,None
2/22/2020,FORT BEND COUNTY,811688,0,0,None
2/23/2020,FORT BEND COUNTY,811688,0,0,None
2/24/2020,FORT BEND COUNTY,811688,0,0,None
2/25/2020,FORT BEND COUNTY,811688,0,0,None
2/26/2020,FORT BEND COUNTY,811688,0,0,None
2/27/2020,FORT BEND COUNTY,811688,0,0,None
2/28/2020,FORT BEND COUNTY,811688,0,0,None
2/29/2020,FORT BEND COUNTY,811688,0,0,None
3/1/2020,FORT BEND COUNTY,811688,0,0,None
3/2/2020,FORT BEND COUNTY,811688,0,0,None
