SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,1630 W 24th St,Houston,TX,77008,450000,3,3.5,Shady Acres,2442,2275,2016,51,184,,Active,,,http://www.redfin.com/TX/Houston/1630-W-24th-St-77008/home/112793019,HARMLS,17740784,N,Y,29.8075092,-95.4288338
MLS Listing,,Single Family Residential,410 W 27th St,Houston,TX,77008,700000,4,3.5,Houston Heights,2800,3275,2014,61,250,,Active,,,http://www.redfin.com/TX/Houston/410-W-27th-St-77008/unit-D/home/58706508,HARMLS,15372859,N,Y,29.810921,-95.4042396
PAST SALE,August-5-2019,Single Family Residential,335 W 26th St,Houston,TX,77008,385000,3,2.5,Trails on West 26th Street,2034,1875,2014,660,189,,Sold,,,http://www.redfin.com/TX/Houston/335-W-26th-St-77008/home/110186158,HARMLS,75102551,N,Y,29.8102348,-95.4029745
PAST SALE,September-12-2019,Single Family Residential,810 T C Jester Blvd,Houston,TX,77008,439000,2,2.0,Timbergrove Manor Sec 04,1655,9280,1952,622,265,3,Sold,,,http://www.redfin.com/TX/Houston/810-T-C-Jester-Blvd-77008/home/30041650,HARMLS,89059252,N,Y,29.7875041,-95.4163937
PAST SALE,October-4-2018,Single Family Residential,237 W 22nd St,Houston,TX,77008,455000,2,1.0,Houston Heights,1288,6550,1930,965,353,,Sold,,,http://www.redfin.com/TX/Houston/237-W-22nd-St-77008/home/29695452,HARMLS,48320575,N,Y,29.8062122,-95.401011
PAST SALE,January-5-2021,Single Family Residential,1131 Allston St,Houston,TX,77008,639000,2,1.0,Houston Heights,1242,6600,1930,141,514,,Sold,,,http://www.redfin.com/TX/Houston/1131-Allston-St-77008/home/29699749,HARMLS,72471567,N,Y,29.7917768,-95.4003667
PAST SALE,June-17-2019,Single Family Residential,1347 Beverly St,Houston,TX,77008,325000,3,1.0,Kutschbach,1091,2942,1925,709,298,,Sold,,,http://www.redfin.com/TX/Houston/1347-Beverly-St-77008/home/29818068,HARMLS,79396930,N,Y,29.7960534,-95.3902946
PAST SALE,July-27-2020,Single Family Residential,217 W 24th St,Houston,TX,77008,550000,3,2.5,Heights/greater Heights,2522,3275,2012,303,218,,Sold,,,http://www.redfin.com/TX/Houston/217-W-24th-St-77008/home/52560305,HARMLS,75234365,N,Y,29.8082293,-95.4001929
PAST SALE,January-31-2020,Townhouse,1726 Stacy Fls,Houston,TX,77008,335000,3,3.5,Enclave On T C Jester,2387,1667,2005,481,140,165,Sold,,,http://www.redfin.com/TX/Houston/1726-Stacy-Fls-77008/home/29169518,HARMLS,56130718,N,Y,29.805438,-95.431599
PAST SALE,November-10-2017,Single Family Residential,1241 W 21st St,Houston,TX,77008,464000,3,2.5,Millennium Homes On Bevis R,2120,4066,2005,1293,219,,Sold,,,http://www.redfin.com/TX/Houston/1241-W-21st-St-77008/home/29214050,HARMLS,90818804,N,Y,29.8049005,-95.4220815
PAST SALE,December-31-2020,Single Family Residential,1319 Dorothy St,Houston,TX,77008,459000,3,2.5,Heights Anx,2457,2500,2012,146,187,,Sold,,,http://www.redfin.com/TX/Houston/1319-Dorothy-St-77008/home/43492335,HARMLS,62656586,N,Y,29.7950493,-95.4093974
PAST SALE,March-31-2017,Single Family Residential,1055 W 25th St Unit A,Houston,TX,77008,449900,3,3.5,Shady Acres,2258,1800,2015,1517,199,,Sold,,,http://www.redfin.com/TX/Houston/1055-W-25th-St-77008/unit-A/home/112793873,HARMLS,77988274,N,Y,29.8089568,-95.4177031
PAST SALE,September-11-2020,Single Family Residential,729 E 16th St,Houston,TX,77008,429000,2,1.0,Pinelawn,946,4300,1929,257,453,,Sold,,,http://www.redfin.com/TX/Houston/729-E-16th-St-77008/home/29829540,HARMLS,16644787,N,Y,29.800188,-95.389767
PAST SALE,December-16-2016,Single Family Residential,611 W 16th St,Houston,TX,77008,449900,2,1.5,Houston Heights,1335,6550,1940,1622,337,,Sold,,,http://www.redfin.com/TX/Houston/611-W-16th-St-77008/home/29697584,HARMLS,25579549,N,Y,29.7999554,-95.4084973
PAST SALE,November-27-2017,Townhouse,1813 Ashland St,Houston,TX,77008,499999,3,3.5,Ashland Courtyard,2222,1546,2012,1276,225,,Sold,,,http://www.redfin.com/TX/Houston/1813-Ashland-St-77008/home/40212311,HARMLS,85733741,N,Y,29.8022229,-95.4039998
