SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-31-2017,Single Family Residential,202 E 23rd St,Houston,TX,77008,310000,2,1.0,Houston Heights,869,2585,1950,1309,357,,Sold,,,http://www.redfin.com/TX/Houston/202-E-23rd-St-77008/home/29695479,HARMLS,43234229,N,Y,29.8068866,-95.3971864
PAST SALE,December-31-2020,Single Family Residential,1319 Dorothy St,Houston,TX,77008,459000,3,2.5,Heights Anx,2457,2500,2012,152,187,,Sold,,,http://www.redfin.com/TX/Houston/1319-Dorothy-St-77008/home/43492335,HARMLS,62656586,N,Y,29.7950493,-95.4093974
PAST SALE,February-22-2021,Single Family Residential,418 W 23rd St,Houston,TX,77008,725000,5,3.0,Houston Heights,1260,6550,1930,99,575,,Sold,,,http://www.redfin.com/TX/Houston/418-W-23rd-St-77008/home/29695498,HARMLS,64430955,N,Y,29.8066565,-95.4044881
PAST SALE,July-27-2020,Single Family Residential,217 W 24th St,Houston,TX,77008,550000,3,2.5,Heights/greater Heights,2522,3275,2012,309,218,,Sold,,,http://www.redfin.com/TX/Houston/217-W-24th-St-77008/home/52560305,HARMLS,75234365,N,Y,29.8082293,-95.4001929
PAST SALE,November-20-2017,Single Family Residential,626 W 21st St,Houston,TX,77008,524000,3,2.5,Houston Heights T/h,2170,3275,2012,1289,241,,Sold,,,http://www.redfin.com/TX/Houston/626-W-21st-St-77008/home/66047237,HARMLS,98627704,N,Y,29.8046176,-95.4091519
PAST SALE,June-28-2019,Single Family Residential,2110 Seamist Ct,Houston,TX,77008,580000,4,2.5,Lazybrook,1844,9310,1961,704,315,,Sold,,,http://www.redfin.com/TX/Houston/2110-Seamist-Ct-77008/home/30131828,HARMLS,91377893,N,Y,29.8058507,-95.4379405
PAST SALE,March-26-2021,Single Family Residential,522 W 28th St,Houston,TX,77008,340000,3,3.5,West 28th Street Villa,1944,1800,2014,67,175,,Sold,,,http://www.redfin.com/TX/Houston/522-W-28th-St-77008/home/59347976,HARMLS,95227517,N,Y,29.8117756,-95.4069311
PAST SALE,September-11-2020,Single Family Residential,729 E 16th St,Houston,TX,77008,429000,2,1.0,Pinelawn,946,4300,1929,263,453,,Sold,,,http://www.redfin.com/TX/Houston/729-E-16th-St-77008/home/29829540,HARMLS,16644787,N,Y,29.800188,-95.389767
PAST SALE,April-7-2020,Townhouse,1723 W 24th St,Houston,TX,77008,305000,2,2.0,Cottages of Shady Acres,1458,1931,2005,420,209,167,Sold,,,http://www.redfin.com/TX/Houston/1723-W-24th-St-77008/home/29358245,HARMLS,30268010,N,Y,29.808145,-95.4299289
PAST SALE,January-31-2020,Townhouse,1726 Stacy Fls,Houston,TX,77008,335000,3,3.5,Enclave On T C Jester,2387,1667,2005,487,140,165,Sold,,,http://www.redfin.com/TX/Houston/1726-Stacy-Fls-77008/home/29169518,HARMLS,56130718,N,Y,29.805438,-95.431599
