City,RegionType,StateName,Date,list_price_data,sale_data,inventory_d2p_data,inventory_4s_data,Year,Month,MonthNumeric,DayOfTheWeek,DayOfTheWeekNumeric
"Chicago, IL",Msa,IL,2019-04-30,347500.0,241500.0,47.0,58354.0,2019,Apr,4,Tuesday,2
"Chicago, IL",Msa,IL,2021-03-31,349900.0,270000.0,,33668.0,2021,Mar,3,Wednesday,3
"Chicago, IL",Msa,IL,2018-06-30,344900.0,250000.0,42.0,58684.0,2018,Jun,6,Saturday,6
"Chicago, IL",Msa,IL,2020-04-30,329000.0,260000.0,56.0,44743.0,2020,Apr,4,Thursday,4
"Chicago, IL",Msa,IL,2018-07-31,335000.0,244000.0,46.0,59813.0,2018,Jul,7,Tuesday,2
"Chicago, IL",Msa,IL,2020-03-31,330000.0,250000.0,55.0,50423.0,2020,Mar,3,Tuesday,2
"Chicago, IL",Msa,IL,2018-08-31,329000.0,235000.0,50.0,59608.0,2018,Aug,8,Friday,5
"Chicago, IL",Msa,IL,2020-11-30,339000.0,260000.0,45.0,41674.0,2020,Nov,11,Monday,1
"Chicago, IL",Msa,IL,2018-09-30,324900.0,230000.0,54.0,58208.0,2018,Sep,9,Sunday,0
"Chicago, IL",Msa,IL,2020-02-29,324900.0,229000.0,68.0,48256.0,2020,Feb,2,Saturday,6
"Chicago, IL",Msa,IL,2018-10-31,319000.0,223500.0,58.0,57546.0,2018,Oct,10,Wednesday,3
"Chicago, IL",Msa,IL,2021-02-28,340000.0,252000.0,,30684.0,2021,Feb,2,Sunday,0
"Chicago, IL",Msa,IL,2018-11-30,309900.0,225000.0,66.0,51333.0,2018,Nov,11,Friday,5
"Chicago, IL",Msa,IL,2020-05-31,335000.0,251750.0,53.0,49404.0,2020,May,5,Sunday,0
"Chicago, IL",Msa,IL,2020-01-31,305000.0,225000.0,86.0,44975.0,2020,Jan,1,Friday,5
"Chicago, IL",Msa,IL,2019-12-31,300000.0,230000.0,85.0,44854.0,2019,Dec,12,Tuesday,2
"Chicago, IL",Msa,IL,2019-01-31,299900.0,218000.0,81.0,43356.0,2019,Jan,1,Thursday,4
"Chicago, IL",Msa,IL,2019-11-30,311000.0,234000.0,71.0,52329.0,2019,Nov,11,Saturday,6
"Chicago, IL",Msa,IL,2019-02-28,319900.0,224000.0,69.0,45916.0,2019,Feb,2,Thursday,4
"Chicago, IL",Msa,IL,2019-10-31,319900.0,233000.0,64.0,59253.0,2019,Oct,10,Thursday,4
