County,RegionType,StateName,Date,zhvi_single_family_homes_by_county,zhvi_condo_coop_homes_by_county,zhvi_5plus_homes_by_county,zhvi_4_homes_by_county,zhvi_3_homes_by_county,zhvi_2_homes_by_county,zhvi_1_homes_by_county,Year
HARRIS COUNTY,County,TX,1996-01-31,102970.0,88773.0,220080.0,137435.0,88562.0,67359.0,82023.0,1996
FORT BEND COUNTY,County,TX,1996-01-31,139204.0,101287.0,244549.0,164644.0,94637.0,86009.0,98842.0,1996
MONTGOMERY COUNTY,County,TX,1996-01-31,146201.0,96672.0,310134.0,192314.0,121039.0,86705.0,64666.0,1996
GALVESTON COUNTY,County,TX,1996-01-31,,,,,,,,1996
TRINITY COUNTY,County,TX,1996-01-31,,,,,,,,1996
HARRIS COUNTY,County,TX,1996-02-29,103042.0,89200.0,219905.0,137421.0,88650.0,67379.0,82146.0,1996
FORT BEND COUNTY,County,TX,1996-02-29,139651.0,101168.0,245317.0,164999.0,94959.0,86103.0,99825.0,1996
MONTGOMERY COUNTY,County,TX,1996-02-29,146101.0,96404.0,309683.0,192178.0,120861.0,86629.0,64406.0,1996
GALVESTON COUNTY,County,TX,1996-02-29,,,,,,,,1996
TRINITY COUNTY,County,TX,1996-02-29,,,,,,,,1996
TRINITY COUNTY,County,TX,1996-03-31,,,,,,,,1996
GALVESTON COUNTY,County,TX,1996-03-31,,,,,,,,1996
HARRIS COUNTY,County,TX,1996-03-31,103053.0,89283.0,219772.0,137420.0,88669.0,67278.0,82111.0,1996
FORT BEND COUNTY,County,TX,1996-03-31,139907.0,100852.0,245788.0,165211.0,95113.0,86030.0,100423.0,1996
MONTGOMERY COUNTY,County,TX,1996-03-31,145956.0,96063.0,309347.0,192064.0,120720.0,86453.0,64132.0,1996
HARRIS COUNTY,County,TX,1996-04-30,103199.0,89688.0,219725.0,137536.0,88811.0,67289.0,82184.0,1996
FORT BEND COUNTY,County,TX,1996-04-30,140462.0,100483.0,246447.0,165661.0,95519.0,86020.0,101449.0,1996
MONTGOMERY COUNTY,County,TX,1996-04-30,145767.0,95688.0,309138.0,191798.0,120499.0,86380.0,63403.0,1996
GALVESTON COUNTY,County,TX,1996-04-30,,,,,,,,1996
TRINITY COUNTY,County,TX,1996-04-30,,,,,,,,1996
TRINITY COUNTY,County,TX,1996-05-31,,,,,,,,1996
MONTGOMERY COUNTY,County,TX,1996-05-31,145656.0,95676.0,308727.0,191417.0,120378.0,86418.0,63473.0,1996
GALVESTON COUNTY,County,TX,1996-05-31,,,,,,,,1996
HARRIS COUNTY,County,TX,1996-05-31,103352.0,89839.0,219715.0,137662.0,88942.0,67267.0,82134.0,1996
FORT BEND COUNTY,County,TX,1996-05-31,140785.0,100075.0,246829.0,165873.0,95705.0,86111.0,102109.0,1996
HARRIS COUNTY,County,TX,1996-06-30,103449.0,90008.0,219717.0,137680.0,89041.0,67163.0,82029.0,1996
FORT BEND COUNTY,County,TX,1996-06-30,141101.0,100225.0,247108.0,166186.0,95940.0,86522.0,102569.0,1996
MONTGOMERY COUNTY,County,TX,1996-06-30,145485.0,95663.0,308886.0,191190.0,120184.0,86529.0,63454.0,1996
GALVESTON COUNTY,County,TX,1996-06-30,,,,,,,,1996
TRINITY COUNTY,County,TX,1996-06-30,,,,,,,,1996
TRINITY COUNTY,County,TX,1996-07-31,,,,,,,,1996
MONTGOMERY COUNTY,County,TX,1996-07-31,145402.0,95922.0,308682.0,190950.0,120042.0,86714.0,63920.0,1996
GALVESTON COUNTY,County,TX,1996-07-31,,,,,,,,1996
HARRIS COUNTY,County,TX,1996-07-31,103488.0,89997.0,219462.0,137579.0,89097.0,67044.0,81852.0,1996
FORT BEND COUNTY,County,TX,1996-07-31,141319.0,100218.0,247190.0,166298.0,96111.0,87115.0,103358.0,1996
